地域階層,地域コード,地域,人口総数（A＋B）,住民基本台帳／世帯数,住民基本台帳／人口／総数（A）,住民基本台帳／人口／男,住民基本台帳／人口／女,外国人登録人口（B）,前月人口総数との増減
0,13000,総数,13009759,6275360,12591643,6249973,6341670,418116,-2198
1,13100,区部,8851384,4420728,8502527,4208429,4294098,348857,-2288
1,13200,市部,4070115,1814982,4001781,1997396,2004385,68334,132
2,13300,郡部,59783,24459,59087,29772,29315,696,-19
2,13350,島部,28477,15191,28248,14376,13872,229,-23
1,13100,区部,8851384,4420728,8502527,4208429,4294098,348857,-2288
4,13101,千代田区,49798,25914,47138,23279,23859,2660,-114
4,13102,中央区,118780,65786,113871,54331,59540,4909,55
4,13103,港区,223369,114816,201543,93979,107564,21826,-25
4,13104,新宿区,317355,169573,282144,141238,140906,35211,-453
4,13105,文京区,196562,101803,189286,90440,98846,7276,-120
4,13106,台東区,179395,92656,166984,85523,81461,12411,7
4,13107,墨田区,247914,123891,238356,119805,118551,9558,478
4,13108,江東区,466724,221922,446393,223072,223321,20331,210
4,13109,品川区,360462,189946,348590,171468,177122,11872,48
4,13110,目黒区,260689,140005,253022,118590,134432,7667,-111
4,13111,大田区,693297,344808,674527,339558,334969,18770,-420
4,13112,世田谷区,847680,432941,831654,397914,433740,16026,-328
4,13113,渋谷区,206292,117103,195911,92850,103061,10381,-128
4,13114,中野区,311747,175932,299562,150498,149064,12185,-423
4,13115,杉並区,538682,291990,527158,254056,273102,11524,-341
4,13116,豊島区,263212,144007,244637,123456,121181,18575,-3
4,13117,北区,334887,167842,318711,158485,160226,16176,-137
4,13118,荒川区,202414,94378,186906,93626,93280,15508,-155
4,13119,板橋区,536587,266100,518116,258894,259222,18471,-108
4,13120,練馬区,706449,332307,692450,342512,349938,13999,-231
4,13121,足立区,665179,300892,641888,324941,316947,23291,564
4,13122,葛飾区,446323,203087,431796,217348,214448,14527,-351
4,13123,江戸川区,677587,303029,651884,332566,319318,25703,-202
1,13200,市部,4070115,1814982,4001781,1997396,2004385,68334,132
4,13201,八王子市,561193,243256,551901,278177,273724,9292,90
4,13202,立川市,178143,81794,174458,87414,87044,3685,-145
4,13203,武蔵野市,137259,70403,134862,65093,69769,2397,-106
4,13204,三鷹市,180089,87513,176986,87462,89524,3103,-89
4,13205,青梅市,139713,58740,138162,69748,68414,1551,-55
4,13206,府中市,249378,113743,244834,124892,119942,4544,-1
4,13207,昭島市,113262,49441,111025,56013,55012,2237,-11
4,13208,調布市,220757,106611,216739,107565,109174,4018,-70
4,13209,町田市,422700,177844,417358,206328,211030,5342,356
4,13210,小金井市,113886,53620,111465,55481,55984,2421,-21
4,13211,小平市,183990,81619,179717,89353,90364,4273,-2
4,13212,日野市,176667,78594,174169,88291,85878,2498,0
4,13213,東村山市,152311,67271,150026,74321,75705,2285,137
4,13214,国分寺市,118024,54637,116317,58057,58260,1707,-33
4,13215,国立市,74403,34431,72955,36140,36815,1448,-19
4,13218,福生市,60549,27765,58122,29331,28791,2427,-55
4,13219,狛江市,77228,37892,76255,37501,38754,973,47
4,13220,東大和市,83662,34946,82605,41141,41464,1057,0
4,13221,清瀬市,73778,32411,72734,35401,37333,1044,8
4,13222,東久留米市,116579,50267,114807,56851,57956,1772,-93
4,13223,武蔵村山市,71304,28382,70075,35221,34854,1229,89
4,13224,多摩市,148018,65573,145682,72399,73283,2336,2
4,13225,稲城市,83117,34505,82029,41712,40317,1088,80
4,13227,羽村市,57587,23789,55934,28542,27392,1653,5
4,13228,あきる野市,81794,32290,81143,40705,40438,651,-9
4,13229,西東京市,194724,87645,191421,94257,97164,3303,27
1,13550,町村部,88260,39650,87335,44148,43187,925,-42
2,13300,西多摩郡,59783,24459,59087,29772,29315,696,-19
4,13303,瑞穂町,34371,13633,33786,17261,16525,585,31
4,13305,日の出町,16301,6663,16224,8052,8172,77,-25
4,13307,檜原村,2783,1235,2771,1379,1392,12,-12
4,13308,奥多摩町,6328,2928,6306,3080,3226,22,-13
2,13350,島部,28477,15191,28248,14376,13872,229,-23
3,13360,大島支庁,14188,7245,14129,7005,7124,59,-13
4,13361,大島町,8812,4838,8763,4356,4407,49,-10
4,13362,利島村,298,163,297,162,135,1,-1
4,13363,新島村,3073,1388,3068,1480,1588,5,7
4,13364,神津島村,2005,856,2001,1007,994,4,-9
3,13380,三宅支庁,3160,1913,3124,1686,1438,36,-9
4,13381,三宅村,2850,1741,2815,1516,1299,35,-6
4,13382,御蔵島村,310,172,309,170,139,1,-3
3,13400,八丈支庁,8628,4709,8509,4302,4207,119,-2
4,13401,八丈町,8452,4599,8335,4196,4139,117,-2
4,13402,青ヶ島村,176,110,174,106,68,2,0
3,13420,小笠原支庁,2501,1324,2486,1383,1103,15,1
4,13421,小笠原村,2501,1324,2486,1383,1103,15,1
,,,,,,,,,
住民基本台帳による世帯と人口_平成22年１月,,,,,,,,,
住民基本台帳による世帯と人口 平成22年１月１日現在,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,
