地域階層,地域コード,地域,人口総数（A＋B）,住民基本台帳／世帯数,住民基本台帳／人口／総数（A）,住民基本台帳／人口／男,住民基本台帳／人口／女,外国人登録人口（B）,前月人口総数との増減
0,13000,総数,13068971,6324293,12646745,6269830,6376915,422226,-2557
1,13100,区部,8895198,4454380,8541979,4223053,4318926,353219,-2393
1,13200,市部,4085831,1830089,4017752,2002743,2015009,68079,-111
2,13300,郡部,59691,24665,58994,29729,29265,697,-18
2,13350,島部,28251,15159,28020,14305,13715,231,-35
1,13100,区部,8895198,4454380,8541979,4223053,4318926,353219,-2393
4,13101,千代田区,50587,26482,47887,23592,24295,2700,-33
4,13102,中央区,121961,67351,116930,55580,61350,5031,334
4,13103,港区,227305,117152,205599,95828,109771,21706,83
4,13104,新宿区,319624,171423,283819,141928,141891,35805,63
4,13105,文京区,198702,103187,191194,91242,99952,7508,8
4,13106,台東区,181259,94340,168396,86397,81999,12863,16
4,13107,墨田区,250182,126016,240380,120792,119588,9802,29
4,13108,江東区,472429,225228,450950,225159,225791,21479,203
4,13109,品川区,362954,191930,351350,172627,178723,11604,144
4,13110,目黒区,261691,140741,254185,119252,134933,7506,-246
4,13111,大田区,693393,346065,674920,339239,335681,18473,-573
4,13112,世田谷区,852117,434694,835819,399203,436616,16298,7
4,13113,渋谷区,207102,117735,196910,93095,103815,10192,-42
4,13114,中野区,311207,176035,298571,149971,148600,12636,-333
4,13115,杉並区,538475,291564,527133,253754,273379,11342,-264
4,13116,豊島区,265897,145232,246029,124171,121858,19868,-51
4,13117,北区,333992,168318,317929,158020,159909,16063,-326
4,13118,荒川区,204837,95682,188968,94623,94345,15869,-52
4,13119,板橋区,535759,266729,517404,258074,259330,18355,-453
4,13120,練馬区,707280,333414,693368,342158,351210,13912,-457
4,13121,足立区,667891,304148,644448,325954,318494,23443,223
4,13122,葛飾区,450085,205998,435253,218958,216295,14832,-49
4,13123,江戸川区,680469,304916,654537,333436,321101,25932,-624
1,13200,市部,4085831,1830089,4017752,2002743,2015009,68079,-111
4,13201,八王子市,563575,246095,554413,279335,275078,9162,45
4,13202,立川市,178542,82567,174920,87475,87445,3622,-135
4,13203,武蔵野市,137926,70847,135596,65215,70381,2330,-145
4,13204,三鷹市,179578,87365,176471,87034,89437,3107,-221
4,13205,青梅市,140038,59251,138412,69759,68653,1626,-5
4,13206,府中市,251142,114783,246667,125754,120913,4475,-30
4,13207,昭島市,113646,49913,111459,56154,55305,2187,-56
4,13208,調布市,221445,106891,217383,107641,109742,4062,32
4,13209,町田市,424828,179850,419525,207106,212419,5303,111
4,13210,小金井市,115589,54485,113209,56443,56766,2380,58
4,13211,小平市,184003,81747,179728,89289,90439,4275,-179
4,13212,日野市,177772,79637,175253,88696,86557,2519,-56
4,13213,東村山市,153142,67980,150801,74624,76177,2341,-75
4,13214,国分寺市,117453,54485,115704,57544,58160,1749,-102
4,13215,国立市,74447,34479,72970,36157,36813,1477,-116
4,13218,福生市,59970,27681,57572,28982,28590,2398,-76
4,13219,狛江市,77045,37799,76085,37359,38726,960,-62
4,13220,東大和市,84328,35454,83283,41431,41852,1045,356
4,13221,清瀬市,74023,32726,72984,35484,37500,1039,10
4,13222,東久留米市,116549,50530,114772,56760,58012,1777,-72
4,13223,武蔵村山市,71688,28671,70469,35429,35040,1219,31
4,13224,多摩市,147382,65625,145076,71948,73128,2306,-137
4,13225,稲城市,84683,35298,83575,42399,41176,1108,62
4,13227,羽村市,57623,24058,56050,28610,27440,1573,-55
4,13228,あきる野市,81916,32703,81249,40721,40528,667,30
4,13229,西東京市,197498,89169,194126,95394,98732,3372,676
1,13550,町村部,87942,39824,87014,44034,42980,928,-53
2,13300,西多摩郡,59691,24665,58994,29729,29265,697,-18
4,13303,瑞穂町,34251,13716,33661,17214,16447,590,-6
4,13305,日の出町,16534,6818,16460,8163,8297,74,-4
4,13307,檜原村,2693,1233,2683,1330,1353,10,11
4,13308,奥多摩町,6213,2898,6190,3022,3168,23,-19
2,13350,島部,28251,15159,28020,14305,13715,231,-35
3,13360,大島支庁,14076,7242,14018,6991,7027,58,-12
4,13361,大島町,8699,4825,8652,4339,4313,47,-3
4,13362,利島村,320,171,319,174,145,1,0
4,13363,新島村,3064,1390,3059,1476,1583,5,-7
4,13364,神津島村,1993,856,1988,1002,986,5,-2
3,13380,三宅支庁,3154,1919,3115,1689,1426,39,4
4,13381,三宅村,2837,1744,2799,1521,1278,38,7
4,13382,御蔵島村,317,175,316,168,148,1,-3
3,13400,八丈支庁,8517,4652,8403,4232,4171,114,-22
4,13401,八丈町,8337,4548,8226,4126,4100,111,-20
4,13402,青ヶ島村,180,104,177,106,71,3,-2
3,13420,小笠原支庁,2504,1346,2484,1393,1091,20,-5
4,13421,小笠原村,2504,1346,2484,1393,1091,20,-5
,,,,,,,,,
住民基本台帳による世帯と人口_平成23年１月,,,,,,,,,
住民基本台帳による世帯と人口 平成23年１月１日現在,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,
