地域階層,地域コード,地域,人口総数（A＋B）,住民基本台帳／世帯数,住民基本台帳／人口／総数（A）,住民基本台帳／人口／男,住民基本台帳／人口／女,外国人登録人口（B）,前月人口総数との増減
0,13000,総数,13092163,6368485,12686067,6283796,6402271,406096,-4262
1,13100,区部,8914676,4487407,8575228,4236324,4338904,339448,-3323
1,13200,市部,4089891,1841055,4024146,2003672,2020474,65745,-905
2,13300,郡部,59472,24791,58805,29566,29239,667,1
2,13350,島部,28124,15232,27888,14234,13654,236,-35
1,13100,区部,8914676,4487407,8575228,4236324,4338904,339448,-3323
4,13101,千代田区,51175,27007,48538,23948,24590,2637,-10
4,13102,中央区,125274,69384,120297,57167,63130,4977,223
4,13103,港区,229017,119042,208397,97371,111026,20620,71
4,13104,新宿区,318086,172562,284518,142210,142308,33568,-360
4,13105,文京区,200313,104130,192961,91997,100964,7352,-61
4,13106,台東区,182661,96014,169999,87279,82720,12662,-113
4,13107,墨田区,250249,126936,240691,121063,119628,9558,-103
4,13108,江東区,476523,228543,455366,227049,228317,21157,210
4,13109,品川区,364776,193686,353502,173563,179939,11274,-97
4,13110,目黒区,262407,141456,255038,119684,135354,7369,-260
4,13111,大田区,694524,348245,676359,339892,336467,18165,-578
4,13112,世田谷区,856208,437214,840522,401107,439415,15686,13
4,13113,渋谷区,209284,119745,199450,94569,104881,9834,155
4,13114,中野区,310198,177086,298780,150191,148589,11418,89
4,13115,杉並区,538448,291930,527675,253651,274024,10773,-350
4,13116,豊島区,267623,146626,248299,125122,123177,19324,88
4,13117,北区,332678,169031,317227,157676,159551,15451,-343
4,13118,荒川区,205831,96529,190164,95113,95051,15667,-62
4,13119,板橋区,535687,268147,518350,258322,260028,17337,-144
4,13120,練馬区,707903,335465,694886,342261,352625,13017,-393
4,13121,足立区,668730,306367,645671,326090,319581,23059,208
4,13122,葛飾区,448671,206643,434508,218473,216035,14163,-565
4,13123,江戸川区,678410,305619,654030,332526,321504,24380,-941
1,13200,市部,4089891,1841055,4024146,2003672,2020474,65745,-905
4,13201,八王子市,564702,248365,555630,279760,275870,9072,-168
4,13202,立川市,178692,83092,175188,87596,87592,3504,-49
4,13203,武蔵野市,138106,70854,135809,65217,70592,2297,-129
4,13204,三鷹市,179761,87488,176785,86999,89786,2976,-126
4,13205,青梅市,139746,59662,138154,69569,68585,1592,-30
4,13206,府中市,251733,115239,247454,125819,121635,4279,157
4,13207,昭島市,113679,50231,111549,56058,55491,2130,-7
4,13208,調布市,222132,107555,218279,107920,110359,3853,-131
4,13209,町田市,425380,181489,420304,207290,213014,5076,167
4,13210,小金井市,116137,54877,113899,56843,57056,2238,42
4,13211,小平市,184316,82330,180314,89449,90865,4002,11
4,13212,日野市,178390,80406,175904,88953,86951,2486,-54
4,13213,東村山市,153337,68373,150988,74614,76374,2349,7
4,13214,国分寺市,117021,54373,115354,57294,58060,1667,-50
4,13215,国立市,74511,34579,73100,36297,36803,1411,-70
4,13218,福生市,59452,27596,57009,28708,28301,2443,-60
4,13219,狛江市,76911,37854,75978,37266,38712,933,32
4,13220,東大和市,84517,35819,83479,41455,42024,1038,-27
4,13221,清瀬市,74162,33024,73158,35491,37667,1004,-39
4,13222,東久留米市,116067,50627,114414,56487,57927,1653,-207
4,13223,武蔵村山市,71947,29017,70770,35573,35197,1177,26
4,13224,多摩市,146524,65725,144295,71411,72884,2229,-7
4,13225,稲城市,85361,35594,84274,42722,41552,1087,47
4,13227,羽村市,57419,24270,56018,28599,27419,1401,-130
4,13228,あきる野市,82056,33156,81421,40808,40613,635,1
4,13229,西東京市,197832,89460,194619,95474,99145,3213,-111
1,13550,町村部,87596,40023,86693,43800,42893,903,-34
2,13300,郡部,59472,24791,58805,29566,29239,667,1
4,13303,瑞穂町,34085,13773,33531,17058,16473,554,0
4,13305,日の出町,16728,6926,16649,8256,8393,79,28
4,13307,檜原村,2609,1235,2597,1291,1306,12,-10
4,13308,奥多摩町,6050,2857,6028,2961,3067,22,-17
2,13350,島部,28124,15232,27888,14234,13654,236,-35
3,13360,大島支庁,13939,7266,13881,6927,6954,58,-26
4,13361,大島町,8634,4856,8587,4316,4271,47,-17
4,13362,利島村,319,174,318,173,145,1,2
4,13363,新島村,3010,1375,3004,1444,1560,6,-9
4,13364,神津島村,1976,861,1972,994,978,4,-2
3,13380,三宅支庁,3129,1913,3091,1683,1408,38,-7
4,13381,三宅村,2812,1739,2775,1511,1264,37,-7
4,13382,御蔵島村,317,174,316,172,144,1,0
3,13400,八丈支庁,8497,4679,8378,4196,4182,119,-7
4,13401,八丈町,8318,4570,8201,4095,4106,117,-8
4,13402,青ヶ島村,179,109,177,101,76,2,1
3,13420,小笠原支庁,2559,1374,2538,1428,1110,21,5
4,13421,小笠原村,2559,1374,2538,1428,1110,21,5
,,,,,,,,,
住民基本台帳による世帯と人口_平成24年１月,,,,,,,,,
住民基本台帳による世帯と人口 平成24年１月１日現在,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,
