地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13297586,-532,12880144,6366590,6513554,417442,199058,218384,6784195,6476201,223544,84450
1,13100,区部,9102598,-442,8751735,4316934,4434801,350863,168955,181908,4831123,4573381,191874,65868
1,13200,市部,4109189,-66,4043532,2006765,2036767,65657,29729,35928,1912347,1862843,31318,18186
2,13300,郡部,58760,12,58083,29148,28935,677,300,377,25599,25085,252,262
2,13350,島部,27039,-36,26794,13743,13051,245,74,171,15126,14892,100,134
1,13100,区部,9102598,-442,8751735,4316934,4434801,350863,168955,181908,4831123,4573381,191874,65868
4,13101,千代田区,56873,-18,54389,27009,27380,2484,1396,1088,31847,29938,1547,362
4,13102,中央区,138088,316,132935,63141,69794,5153,2618,2535,79418,75469,2947,1002
4,13103,港区,240585,79,222165,103853,118312,18420,9790,8630,137180,124171,10050,2959
4,13104,新宿区,327712,-450,291696,145757,145939,36016,18320,17696,204483,175852,25220,3411
4,13105,文京区,207413,85,199717,95057,104660,7696,3758,3938,112806,106662,4990,1154
4,13106,台東区,189795,-33,176547,90720,85827,13248,6522,6726,109735,99930,7884,1921
4,13107,墨田区,258423,215,248558,125005,123553,9865,4052,5813,139014,131763,4719,2532
4,13108,江東区,493952,188,471186,234482,236704,22766,10535,12231,249102,234608,10142,4352
4,13109,品川区,372077,-25,361414,177226,184188,10663,5204,5459,205290,197434,5433,2423
4,13110,目黒区,269689,29,262303,123354,138949,7386,3921,3465,150097,144404,4050,1643
4,13111,大田区,707455,-387,688102,344687,343415,19353,9022,10331,369863,355984,9320,4559
4,13112,世田谷区,874332,42,858639,408335,450304,15693,8025,7668,455473,443107,8203,4163
4,13113,渋谷区,217008,-105,207917,99203,108714,9091,4994,4097,130981,123964,5287,1730
4,13114,中野区,316625,-85,304342,153310,151032,12283,6159,6124,190666,180434,8320,1912
4,13115,杉並区,547165,-169,535744,257287,278457,11421,5665,5756,304693,295341,7011,2341
4,13116,豊島区,275507,-24,253891,128114,125777,21616,10793,10823,166782,149447,15062,2273
4,13117,北区,338084,35,322079,160228,161851,16005,7661,8344,183101,171722,8845,2534
4,13118,荒川区,209087,-3,192899,96471,96428,16188,7755,8433,108564,97498,8759,2307
4,13119,板橋区,544172,332,526150,261226,264924,18022,8041,9981,286513,273153,9566,3794
4,13120,練馬区,714656,8,701104,344156,356948,13552,6138,7414,350732,340510,6709,3513
4,13121,足立区,674111,259,650432,327920,322512,23679,10273,13406,324120,308802,9058,6260
4,13122,葛飾区,449527,-476,434558,218062,216496,14969,6856,8113,217836,207715,6729,3392
4,13123,江戸川区,680262,-255,654968,332331,322637,25294,11457,13837,322827,305473,12023,5331
1,13200,市部,4109189,-66,4043532,2006765,2036767,65657,29729,35928,1912347,1862843,31318,18186
4,13201,八王子市,562572,-165,553097,277690,275407,9475,4298,5177,257337,250083,4763,2491
4,13202,立川市,179090,-73,175792,87699,88093,3298,1420,1878,86162,83903,1321,938
4,13203,武蔵野市,142138,-4,139658,66996,72662,2480,1286,1194,73913,71869,1439,605
4,13204,三鷹市,182092,-42,179134,87988,91146,2958,1413,1545,90283,87878,1595,810
4,13205,青梅市,137052,-82,135598,68079,67519,1454,538,916,61130,60021,494,615
4,13206,府中市,254551,273,250274,126701,123573,4277,1766,2511,119640,116380,2087,1173
4,13207,昭島市,112727,-10,110535,55343,55192,2192,986,1206,51878,50354,944,580
4,13208,調布市,224191,-40,220558,108459,112099,3633,1699,1934,111273,108447,1829,997
4,13209,町田市,426648,271,421746,207578,214168,4902,2254,2648,188406,184820,2007,1579
4,13210,小金井市,117427,-38,115389,57245,58144,2038,986,1052,57356,55733,1179,444
4,13211,小平市,186958,48,182835,90265,92570,4123,1966,2157,86611,83299,2542,770
4,13212,日野市,180975,4,178414,89888,88526,2561,1206,1355,84008,82063,1280,665
4,13213,東村山市,151412,-119,149157,73308,75849,2255,1017,1238,70446,68810,959,677
4,13214,国分寺市,119379,-68,117648,58359,59289,1731,801,930,56960,55636,921,403
4,13215,国立市,74558,-19,73244,36122,37122,1314,597,717,35771,34840,597,334
4,13218,福生市,58553,9,55841,28044,27797,2712,1341,1371,29353,27225,1581,547
4,13219,狛江市,79096,100,78078,38110,39968,1018,484,534,39591,38793,473,325
4,13220,東大和市,86162,-15,85088,42190,42898,1074,405,669,37742,37010,380,352
4,13221,清瀬市,74374,-45,73297,35560,37737,1077,462,615,34162,33365,422,375
4,13222,東久留米市,116494,9,114794,56498,58296,1700,692,1008,52279,51113,564,602
4,13223,武蔵村山市,72092,8,70933,35592,35341,1159,452,707,30256,29454,374,428
4,13224,多摩市,147486,-62,145439,71609,73830,2047,835,1212,68528,67013,873,642
4,13225,稲城市,86594,102,85479,43242,42237,1115,526,589,37184,36418,421,345
4,13227,羽村市,56604,-21,55429,28230,27199,1175,508,667,25181,24369,483,329
4,13228,あきる野市,81697,-12,81047,40521,40526,650,261,389,34287,33817,214,256
4,13229,西東京市,198267,-75,195028,95449,99579,3239,1530,1709,92610,90130,1576,904
1,13550,町村部,85799,-24,84877,42891,41986,922,374,548,40725,39977,352,396
2,13300,郡部,58760,12,58083,29148,28935,677,300,377,25599,25085,252,262
4,13303,瑞穂町,33808,22,33254,16875,16379,554,260,294,14361,13950,213,198
4,13305,日の出町,17062,7,16981,8366,8615,81,22,59,7319,7251,24,44
4,13307,檜原村,2379,-4,2366,1190,1176,13,3,10,1180,1170,6,4
4,13308,奥多摩町,5511,-13,5482,2717,2765,29,15,14,2739,2714,9,16
2,13350,島部,27039,-36,26794,13743,13051,245,74,171,15126,14892,100,134
3,13360,大島支庁,13386,-15,13314,6705,6609,72,46,26,7214,7142,48,24
4,13361,大島町,8253,-9,8191,4166,4025,62,43,19,4802,4740,45,17
4,13362,利島村,307,2,307,165,142,0,0,0,166,166,0,0
4,13363,新島村,2888,-8,2881,1381,1500,7,2,5,1373,1366,2,5
4,13364,神津島村,1938,0,1935,993,942,3,1,2,873,870,1,2
3,13380,三宅支庁,3012,-1,2961,1615,1346,51,11,40,1912,1868,19,25
4,13381,三宅村,2714,-2,2664,1450,1214,50,11,39,1742,1699,19,24
4,13382,御蔵島村,298,1,297,165,132,1,0,1,170,169,0,1
3,13400,八丈支庁,8088,-17,7985,4011,3974,103,8,95,4583,4483,25,75
4,13401,八丈町,7921,-18,7820,3918,3902,101,8,93,4472,4374,25,73
4,13402,青ヶ島村,167,1,165,93,72,2,0,2,111,109,0,2
3,13420,小笠原支庁,2553,-3,2534,1412,1122,19,9,10,1417,1399,8,10
4,13421,小笠原村,2553,-3,2534,1412,1122,19,9,10,1417,1399,8,10
,,,,,,,,,,,,,,
住民基本台帳による世帯と人口_平成27年１月,,,,,,,,,,,,,,
住民基本台帳による世帯と人口（日本人及び外国人）平成27年１月１日現在,,,,,,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
