{̏Z{䒠li30N11݁j,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
s,,l,l,l,l,ѐ,ѐ,ѐ
,,j,j,,,ѐ,ѐ,ѐ
,,{l,Ol,{l,Ol,{l,Ol,
s,s,48730,1533,52821,1471,52977,1798,545
s,,34049,622,37750,741,38573,736,317
s,ԋ,32189,920,33364,1001,33030,1068,378
s,,43651,2044,48621,2228,52878,2713,747
s,`,38685,1393,40031,1312,41272,1581,451
s,吳,32147,737,32915,703,32738,785,295
s,V,33119,1975,38255,2447,35708,2386,764
s,Q,30260,3865,28278,4415,40402,5690,976
s,,46406,1786,47215,1786,45875,1929,562
s,,81656,3232,83219,3357,91487,4285,931
s,,36358,3331,39064,3760,39715,3956,988
s,,48576,13188,51162,14585,51577,15390,2918
s,,42465,1079,45888,1114,45927,1333,384
s,铌,78527,2461,85385,2821,81184,3071,935
s,{,49193,1371,56863,1451,51470,1726,537
s,Zg,70099,2021,78922,2070,76073,2240,785
s,Zg,60734,1669,66515,1795,64372,1938,713
s,,58143,4580,41134,3983,65268,5834,975
s,,84378,2994,85507,3258,95405,3806,1097
s,ߌ,53160,921,57844,1029,49081,855,534
s,ZV],57660,1603,61663,1811,59977,1762,738
s,,90767,3922,99046,4115,91883,3976,1464
s,k,57129,2452,61124,2703,71597,3039,938
s,,42386,3264,47797,4663,56340,5006,1323
s,,69855,1970,72286,2305,72392,2543,757
s,,59901,698,63146,665,53995,704,361
s,,41008,350,45120,332,38315,328,187
s,,66383,847,70923,830,61500,866,397
s,,67047,1372,76255,1320,64284,1052,515
s,k,74815,887,82170,1048,72439,976,500
s,,18611,451,19804,223,16138,461,112
ݘacs,,93513,1086,101192,1080,85176,1211,414
Ls,,190792,2621,209753,2808,185217,2850,1222
rcs,,48955,857,52891,853,46497,1013,325
cs,,175375,2433,190014,2761,165931,2969,1054
Îs,,35549,567,38480,675,33029,666,283
Ύs,,167864,1380,182673,1646,157294,1457,797
Lˎs,,42064,353,45133,386,37034,374,194
s,,69008,1100,72683,1311,69509,1195,587
s,,192319,2001,207542,2127,175780,2060,971
؎s,,135168,1472,143366,1669,121997,1698,697
s,,124841,3484,135721,3596,118897,3453,1185
򍲖s,,47870,753,51189,927,44823,1082,272
xcюs,,52961,619,58856,495,49866,642,232
Qs,,112909,1401,119957,1438,107260,1427,733
͓s,,50550,282,56192,256,46965,252,191
s,,57459,719,61952,705,54795,708,381
哌s,,58240,1434,60729,1370,54099,1605,443
as,,89185,1070,94790,1111,75905,1163,513
ʎs,,64678,1302,70540,1460,58445,1769,440
s,,33076,639,35785,618,30254,802,194
Hgs,,53272,417,58495,535,49229,514,271
^s,,59569,1409,61119,1535,59990,1449,534
ےÎs,,41889,675,42257,583,39048,687,275
Ύs,,27488,251,29945,248,24977,244,140
䎛s,,30814,283,33898,316,28499,308,178
s,,231290,8384,243259,9006,224372,9260,2808
s,,30094,328,32021,353,25512,377,164
ls,,27055,251,28229,259,23677,254,150
s,,37381,222,40042,254,31851,203,144
㋷Rs,,27454,173,30418,187,24924,167,109
s,,26267,165,28700,145,23971,122,123
OS,{,14458,67,15975,101,12792,53,74
L\S,L\,9532,37,10404,52,8539,32,44
L\S,\,4984,39,5337,33,4509,45,19
kS,,8111,232,8682,245,7338,288,66
S,F撬,21229,123,22461,114,17607,117,84
S,cK,4316,59,4335,57,4076,84,23
S,,7506,88,8445,93,7479,123,40
͓S,q,6633,56,6849,32,5400,53,25
͓S,͓쒬,7583,52,8052,42,6414,55,21
͓S,瑁ԍ㑺,2529,13,2810,10,2307,10,7
